NAME,median_household_income,total_population,total_enrollment,college_grad_enrollment,total_households,no_vehicle_owner,no_vehicle_renter,pop_in_labor_force_universe,in_labor_force,unemployed,total_housing_units,state,county,tract,block group,GEOID,student_population,pct_students,households_no_vehicle,pct_no_vehicle,unemployment_rate
"Block Group 1, Census Tract 4001, Alameda County, California",190179,1963,,,699,10,0,1470,992,24,785,06,001,400100,1,060014001001,,,10,1.43,2.42
"Block Group 2, Census Tract 4001, Alameda County, California",233125,1361,,,638,58,0,1194,778,42,693,06,001,400100,2,060014001002,,,58,9.09,5.4
"Block Group 1, Census Tract 4002, Alameda County, California",232000,1029,,,456,4,24,851,566,23,466,06,001,400200,1,060014002001,,,28,6.14,4.06
"Block Group 2, Census Tract 4002, Alameda County, California",158750,1009,,,412,5,67,861,615,62,442,06,001,400200,2,060014002002,,,72,17.48,10.08
"Block Group 1, Census Tract 4003, Alameda County, California",250001,1122,,,416,0,31,949,704,19,460,06,001,400300,1,060014003001,,,31,7.45,2.7
"Block Group 2, Census Tract 4003, Alameda County, California",114022,1623,,,940,23,194,1533,1202,56,1004,06,001,400300,2,060014003002,,,217,23.09,4.66
"Block Group 3, Census Tract 4003, Alameda County, California",-666666666,1048,,,564,14,74,901,494,15,672,06,001,400300,3,060014003003,,,88,15.6,3.04
"Block Group 4, Census Tract 4003, Alameda County, California",161250,1656,,,628,0,29,1323,1074,39,643,06,001,400300,4,060014003004,,,29,4.62,3.63
"Block Group 1, Census Tract 4004, Alameda County, California",128125,1489,,,735,32,107,1284,892,0,804,06,001,400400,1,060014004001,,,139,18.91,0.0
"Block Group 2, Census Tract 4004, Alameda County, California",138672,1035,,,464,21,46,853,577,7,532,06,001,400400,2,060014004002,,,67,14.44,1.21
"Block Group 3, Census Tract 4004, Alameda County, California",184432,1860,,,627,9,18,1382,1218,19,650,06,001,400400,3,060014004003,,,27,4.31,1.56
"Block Group 1, Census Tract 4005, Alameda County, California",99948,2493,,,1071,12,86,2201,1475,139,1166,06,001,400500,1,060014005001,,,98,9.15,9.42
"Block Group 2, Census Tract 4005, Alameda County, California",147670,762,,,263,0,11,677,531,7,263,06,001,400500,2,060014005002,,,11,4.18,1.32
"Block Group 3, Census Tract 4005, Alameda County, California",88750,793,,,339,0,72,726,574,22,362,06,001,400500,3,060014005003,,,72,21.24,3.83
"Block Group 1, Census Tract 4006, Alameda County, California",120882,1137,,,448,0,40,980,757,55,481,06,001,400600,1,060014006001,,,40,8.93,7.27
"Block Group 2, Census Tract 4006, Alameda County, California",182986,820,,,293,0,20,675,594,7,323,06,001,400600,2,060014006002,,,20,6.83,1.18
"Block Group 1, Census Tract 4007, Alameda County, California",110212,1058,,,479,0,84,972,845,26,541,06,001,400700,1,060014007001,,,84,17.54,3.08
"Block Group 2, Census Tract 4007, Alameda County, California",103250,1597,,,638,0,76,1194,939,73,714,06,001,400700,2,060014007002,,,76,11.91,7.77
"Block Group 3, Census Tract 4007, Alameda County, California",100393,960,,,285,0,35,782,665,10,285,06,001,400700,3,060014007003,,,35,12.28,1.5
"Block Group 4, Census Tract 4007, Alameda County, California",108722,1535,,,625,38,47,1288,1006,46,625,06,001,400700,4,060014007004,,,85,13.6,4.57
"Block Group 1, Census Tract 4008, Alameda County, California",71910,1364,,,689,0,128,1185,878,18,755,06,001,400800,1,060014008001,,,128,18.58,2.05
"Block Group 2, Census Tract 4008, Alameda County, California",84784,1203,,,467,0,27,991,778,11,489,06,001,400800,2,060014008002,,,27,5.78,1.41
"Block Group 3, Census Tract 4008, Alameda County, California",102750,1475,,,643,4,34,1255,970,64,676,06,001,400800,3,060014008003,,,38,5.91,6.6
"Block Group 1, Census Tract 4009, Alameda County, California",76890,1448,,,639,8,17,1295,1079,99,675,06,001,400900,1,060014009001,,,25,3.91,9.18
"Block Group 2, Census Tract 4009, Alameda County, California",113289,1608,,,486,0,10,1242,1059,37,571,06,001,400900,2,060014009002,,,10,2.06,3.49
"Block Group 1, Census Tract 4010, Alameda County, California",143906,658,,,307,0,49,572,517,76,342,06,001,401000,1,060014010001,,,49,15.96,14.7
"Block Group 2, Census Tract 4010, Alameda County, California",170694,1710,,,523,0,12,1450,1195,21,523,06,001,401000,2,060014010002,,,12,2.29,1.76
"Block Group 3, Census Tract 4010, Alameda County, California",121771,1301,,,565,11,143,1174,911,148,565,06,001,401000,3,060014010003,,,154,27.26,16.25
"Block Group 4, Census Tract 4010, Alameda County, California",89519,462,,,221,16,71,462,335,0,316,06,001,401000,4,060014010004,,,87,39.37,0.0
"Block Group 5, Census Tract 4010, Alameda County, California",-666666666,1181,,,343,28,54,921,798,31,448,06,001,401000,5,060014010005,,,82,23.91,3.88
"Block Group 6, Census Tract 4010, Alameda County, California",143009,873,,,327,0,12,809,650,62,386,06,001,401000,6,060014010006,,,12,3.67,9.54
"Block Group 1, Census Tract 4011, Alameda County, California",77035,594,,,383,13,27,567,535,31,383,06,001,401100,1,060014011001,,,40,10.44,5.79
"Block Group 2, Census Tract 4011, Alameda County, California",94735,1650,,,809,0,170,1415,1085,43,843,06,001,401100,2,060014011002,,,170,21.01,3.96
"Block Group 3, Census Tract 4011, Alameda County, California",155927,979,,,398,0,84,917,842,17,398,06,001,401100,3,060014011003,,,84,21.11,2.02
"Block Group 4, Census Tract 4011, Alameda County, California",75122,1981,,,838,0,189,1531,1143,245,838,06,001,401100,4,060014011004,,,189,22.55,21.43
"Block Group 1, Census Tract 4012, Alameda County, California",182063,1197,,,563,7,8,1073,865,15,583,06,001,401200,1,060014012001,,,15,2.66,1.73
"Block Group 2, Census Tract 4012, Alameda County, California",94712,768,,,415,0,72,695,577,7,468,06,001,401200,2,060014012002,,,72,17.35,1.21
"Block Group 3, Census Tract 4012, Alameda County, California",85395,835,,,382,0,50,719,537,52,382,06,001,401200,3,060014012003,,,50,13.09,9.68
"Block Group 1, Census Tract 4013, Alameda County, California",91250,1286,,,558,0,175,1152,789,33,624,06,001,401300,1,060014013001,,,175,31.36,4.18
"Block Group 2, Census Tract 4013, Alameda County, California",51964,1326,,,703,0,232,1302,888,37,714,06,001,401300,2,060014013002,,,232,33.0,4.17
"Block Group 3, Census Tract 4013, Alameda County, California",115313,1462,,,804,6,243,1351,1075,42,882,06,001,401300,3,060014013003,,,249,30.97,3.91
"Block Group 1, Census Tract 4014, Alameda County, California",69028,1373,,,463,21,29,1221,924,15,479,06,001,401400,1,060014014001,,,50,10.8,1.62
"Block Group 2, Census Tract 4014, Alameda County, California",87824,2549,,,849,32,101,2310,1656,226,970,06,001,401400,2,060014014002,,,133,15.67,13.65
"Block Group 3, Census Tract 4014, Alameda County, California",59444,1122,,,328,0,56,997,748,102,401,06,001,401400,3,060014014003,,,56,17.07,13.64
"Block Group 1, Census Tract 4015, Alameda County, California",20595,1460,,,588,4,235,1177,776,65,588,06,001,401500,1,060014015001,,,239,40.65,8.38
"Block Group 2, Census Tract 4015, Alameda County, California",109808,802,,,298,44,15,653,518,5,357,06,001,401500,2,060014015002,,,59,19.8,0.97
"Block Group 3, Census Tract 4015, Alameda County, California",83289,821,,,262,7,6,787,687,119,295,06,001,401500,3,060014015003,,,13,4.96,17.32
"Block Group 1, Census Tract 4016, Alameda County, California",99886,1492,,,445,32,35,1294,940,99,493,06,001,401600,1,060014016001,,,67,15.06,10.53
"Block Group 2, Census Tract 4016, Alameda County, California",66953,927,,,467,5,20,776,662,70,479,06,001,401600,2,060014016002,,,25,5.35,10.57
"Block Group 1, Census Tract 4017, Alameda County, California",126065,1313,,,561,0,27,1184,1006,43,698,06,001,401700,1,060014017001,,,27,4.81,4.27
"Block Group 2, Census Tract 4017, Alameda County, California",101250,860,,,379,36,34,702,583,106,422,06,001,401700,2,060014017002,,,70,18.47,18.18
"Block Group 3, Census Tract 4017, Alameda County, California",146250,1206,,,383,0,0,1031,843,62,425,06,001,401700,3,060014017003,,,0,0.0,7.35
"Block Group 1, Census Tract 4018, Alameda County, California",88750,779,,,307,11,58,687,547,25,380,06,001,401800,1,060014018001,,,69,22.48,4.57
"Block Group 2, Census Tract 4018, Alameda County, California",57262,967,,,378,11,119,738,581,16,404,06,001,401800,2,060014018002,,,130,34.39,2.75
"Block Group 1, Census Tract 4022, Alameda County, California",110875,1368,,,485,14,77,1138,878,43,536,06,001,402200,1,060014022001,,,91,18.76,4.9
"Block Group 2, Census Tract 4022, Alameda County, California",75000,695,,,274,17,36,634,437,66,301,06,001,402200,2,060014022002,,,53,19.34,15.1
"Block Group 3, Census Tract 4022, Alameda County, California",167768,426,,,157,8,0,426,334,11,202,06,001,402200,3,060014022003,,,8,5.1,3.29
"Block Group 1, Census Tract 4024, Alameda County, California",44250,1112,,,453,0,118,1004,707,14,530,06,001,402400,1,060014024001,,,118,26.05,1.98
"Block Group 2, Census Tract 4024, Alameda County, California",21227,1433,,,743,0,364,1094,633,134,753,06,001,402400,2,060014024002,,,364,48.99,21.17
"Block Group 1, Census Tract 4025, Alameda County, California",62083,1195,,,410,0,119,994,702,125,443,06,001,402500,1,060014025001,,,119,29.02,17.81
"Block Group 2, Census Tract 4025, Alameda County, California",12938,745,,,332,0,186,568,279,54,365,06,001,402500,2,060014025002,,,186,56.02,19.35
"Block Group 1, Census Tract 4026, Alameda County, California",40292,1299,,,603,16,173,1076,667,49,658,06,001,402600,1,060014026001,,,189,31.34,7.35
"Block Group 1, Census Tract 4027, Alameda County, California",38750,893,,,315,0,112,771,480,35,402,06,001,402700,1,060014027001,,,112,35.56,7.29
"Block Group 2, Census Tract 4027, Alameda County, California",131932,1095,,,409,11,27,1021,825,65,421,06,001,402700,2,060014027002,,,38,9.29,7.88
"Block Group 1, Census Tract 4028.01, Alameda County, California",181411,791,,,351,28,90,668,620,47,378,06,001,402801,1,060014028011,,,118,33.62,7.58
