service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250810,20251206
2,1,1,1,1,1,0,0,20250810,20251206
3,1,1,0,1,1,0,0,20250810,20251206
4,0,0,1,0,1,0,0,20250810,20251206
5,1,1,1,1,1,0,0,20250810,20251206
6,1,1,0,1,1,0,0,20250810,20251206
7,1,1,1,0,1,0,0,20250810,20251206
8,1,1,1,1,1,0,0,20250810,20251206
9,1,1,1,1,1,0,0,20250810,20251206
10,1,1,0,1,1,0,0,20250810,20251206
11,1,1,1,1,1,0,0,20250810,20251206
12,1,1,1,0,1,0,0,20250810,20251206
13,1,1,1,1,1,0,0,20250810,20251206
14,0,1,0,0,0,0,0,20250810,20251206
15,1,1,1,1,1,0,0,20250810,20251206
16,1,1,1,1,1,0,0,20250810,20251206
17,0,0,0,0,1,0,0,20250810,20251206
18,1,1,0,1,1,0,0,20250810,20251206
19,1,1,1,0,1,0,0,20250810,20251206
20,1,1,1,1,1,0,0,20250810,20251206
21,1,1,1,1,1,0,0,20250810,20251206
22,1,1,1,1,1,0,0,20250810,20251206
23,0,0,1,1,0,0,0,20250810,20251206
24,1,1,0,1,1,0,0,20250810,20251206
25,0,0,0,0,1,0,0,20250810,20251206
26,1,1,1,1,1,0,0,20250810,20251206
27,1,1,0,0,1,0,0,20250810,20251206
28,1,1,0,1,1,0,0,20250810,20251206
29,1,1,1,1,1,0,0,20250810,20251206
30,0,1,1,1,1,0,0,20250810,20251206
31,1,1,1,0,1,0,0,20250810,20251206
32,1,1,1,1,1,0,0,20250810,20251206
33,1,1,0,1,0,0,0,20250810,20251206
34,1,1,0,1,0,0,0,20250810,20251206
35,0,0,0,1,0,0,0,20250810,20251206
36,1,1,0,1,1,0,0,20250810,20251206
37,0,0,0,0,0,0,1,20250810,20251206
38,0,0,1,0,0,0,0,20250810,20251206
39,0,0,1,0,0,0,0,20250810,20251206
40,1,1,1,1,1,0,0,20250810,20251206
41,1,1,1,0,1,0,0,20250810,20251206
42,1,1,0,1,1,0,0,20250810,20251206
43,1,0,0,1,1,0,0,20250810,20251206
44,1,1,1,1,1,0,0,20250810,20251206
45,1,1,1,1,1,0,0,20250810,20251206
46,1,1,1,1,1,0,0,20250810,20251206
47,1,1,1,0,1,0,0,20250810,20251206
48,1,1,1,0,1,0,0,20250810,20251206
49,1,0,0,0,0,0,0,20250810,20251206
50,1,1,0,1,1,0,0,20250810,20251206
51,1,1,0,1,1,0,0,20250810,20251206
52,0,0,0,0,0,1,0,20250810,20251206
53,1,1,1,1,1,0,0,20250810,20251206
11-1,1,1,1,1,0,0,1,20250810,20251205
37-1,0,0,0,0,0,1,0,20250810,20251205
52-1,0,0,0,0,1,0,0,20250810,20251205
