trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2355010,12,37,"Northwest Berkeley",,1,12001,shp-12-05,0,0
3699020,12,11,"Northwest Berkeley",,1,12002,shp-12-05,0,0
4995020,12,11,"Northwest Berkeley",,1,12008,shp-12-05,0,0
13324020,12,11,"Northwest Berkeley",,1,12004,shp-12-05,0,0
8388070,12,52,"Northwest Berkeley",,1,12003,shp-12-05,0,0
4380070,12,52,"Northwest Berkeley",,1,12005,shp-12-05,0,0
3969070,12,52,"Northwest Berkeley",,1,12005,shp-12-05,0,0
6445020,12,11,"Northwest Berkeley",,1,12007,shp-12-05,0,0
4925010,12,37,"Northwest Berkeley",,1,12004,shp-12-05,0,0
5346010,12,37,"Northwest Berkeley",,1,12004,shp-12-05,0,0
3231070,12,52,"Northwest Berkeley",,1,12004,shp-12-05,0,0
7349070,12,52,"Northwest Berkeley",,1,12001,shp-12-05,0,0
10108010,12,37,"Northwest Berkeley",,1,12002,shp-12-05,0,0
2075020,12,11,"Northwest Berkeley",,1,12004,shp-12-05,0,0
6267020,12,11,"Northwest Berkeley",,1,12002,shp-12-05,0,0
4548020,12,11,"Northwest Berkeley",,1,12001,shp-12-05,0,0
4052070,12,52,"Northwest Berkeley",,1,12003,shp-12-05,0,0
12186070,12,52,"Northwest Berkeley",,1,12001,shp-12-05,0,0
11898010,12,37,"Northwest Berkeley",,1,12006,shp-12-05,0,0
870010,12,37,"Northwest Berkeley",,1,12002,shp-12-05,0,0
4529010,12,37,"Northwest Berkeley",,1,12003,shp-12-05,0,0
11851010,12,37,"Northwest Berkeley",,1,851002,shp-12-05,0,0
1786010,12,37,"Northwest Berkeley",,1,12001,shp-12-05,0,0
13569070,12,52,"Northwest Berkeley",,1,12006,shp-12-05,0,0
5169010,12,37,"Northwest Berkeley",,1,12002,shp-12-05,0,0
5485070,12,52,"Northwest Berkeley",,1,12001,shp-12-05,0,0
5206010,12,37,"Northwest Berkeley",,1,12005,shp-12-05,0,0
2852160,12,41,"Northwest Berkeley",,1,12009,shp-12-05,0,0
6765020,12,11,"Northwest Berkeley",,1,12003,shp-12-05,0,0
11115070,12,52,"Northwest Berkeley",,1,12003,shp-12-05,0,0
3060020,12,11,"Northwest Berkeley",,1,12007,shp-12-05,0,0
7126020,12,11,"Northwest Berkeley",,1,12003,shp-12-05,0,0
4153020,12,11,"Northwest Berkeley",,1,12006,shp-12-05,0,0
2247010,12,37,"Northwest Berkeley",,1,12004,shp-12-05,0,0
12965070,12,52,"Northwest Berkeley",,1,12004,shp-12-05,0,0
1782070,12,52,"Northwest Berkeley",,1,12005,shp-12-05,0,0
3289070,12,52,"Northwest Berkeley",,1,12006,shp-12-05,0,0
2204020,12,11,"Northwest Berkeley",,1,12004,shp-12-05,0,0
