w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,w_tract,h_tract,h_county
060014005001000,060014015001018,1,0,0,1,0,1,0,0,0,1,20231016,06001400500,06001401500,06001
060014005001000,060014015003003,1,0,0,1,0,1,0,0,0,1,20231016,06001400500,06001401500,06001
060014005001000,060014215003006,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06001421500,06001
060014005001000,060014334004003,1,0,0,1,1,0,0,0,0,1,20231016,06001400500,06001433400,06001
060014005001000,060133671003002,1,0,1,0,0,1,0,0,0,1,20231016,06001400500,06013367100,06013
060014005001000,060750229031004,1,0,1,0,1,0,0,0,0,1,20231016,06001400500,06075022903,06075
060014005001000,060750478022003,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06075047802,06075
060014005001000,060952523121010,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06095252312,06095
060014005001003,060014005001001,1,0,0,1,0,0,1,0,1,0,20231016,06001400500,06001400500,06001
060014005001003,060014005001011,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06001400500,06001
060014005001003,060014005002004,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06001400500,06001
060014005001003,060014005002006,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06001400500,06001
060014005001003,060014014002015,1,1,0,0,1,0,0,0,0,1,20231016,06001400500,06001401400,06001
060014005001003,060014016002013,1,0,1,0,1,0,0,0,0,1,20231016,06001400500,06001401600,06001
060014005001003,060014018002001,1,0,1,0,0,1,0,0,0,1,20231016,06001400500,06001401800,06001
060014005001003,060014034013000,1,0,1,0,1,0,0,0,0,1,20231016,06001400500,06001403401,06001
060014005001003,060014040001003,1,1,0,0,1,0,0,0,0,1,20231016,06001400500,06001404000,06001
060014005001003,060014040003000,1,1,0,0,1,0,0,0,0,1,20231016,06001400500,06001404000,06001
060014005001003,060014044002000,1,0,0,1,0,1,0,0,1,0,20231016,06001400500,06001404400,06001
060014005001003,060014073002011,1,0,1,0,0,1,0,0,0,1,20231016,06001400500,06001407300,06001
060014005001003,060014074002006,1,1,0,0,0,1,0,0,1,0,20231016,06001400500,06001407400,06001
060014005001003,060014076003001,1,0,1,0,1,0,0,0,0,1,20231016,06001400500,06001407600,06001
060014005001003,060014076005000,1,0,1,0,1,0,0,0,0,1,20231016,06001400500,06001407600,06001
060014005001003,060014087001002,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06001408700,06001
060014005001003,060014087003001,1,0,1,0,0,0,1,0,0,1,20231016,06001400500,06001408700,06001
060014005001003,060014102002009,1,0,1,0,1,0,0,0,0,1,20231016,06001400500,06001410200,06001
060014005001003,060014217003001,1,0,0,1,0,1,0,0,0,1,20231016,06001400500,06001421700,06001
